[goal3834] Numba PIP baseline start
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 1/55 elapsed=0.368585s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 2/55 elapsed=0.000435s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 3/55 elapsed=0.000421s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 4/55 elapsed=0.000444s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 5/55 elapsed=0.000473s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 6/55 elapsed=0.000465s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 7/55 elapsed=0.000439s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 8/55 elapsed=0.000448s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 9/55 elapsed=0.000421s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 10/55 elapsed=0.000436s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 11/55 elapsed=0.000436s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 12/55 elapsed=0.000444s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 13/55 elapsed=0.000444s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 14/55 elapsed=0.000471s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 15/55 elapsed=0.000424s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 16/55 elapsed=0.000425s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 17/55 elapsed=0.000443s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 18/55 elapsed=0.000427s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 19/55 elapsed=0.000421s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 20/55 elapsed=0.000436s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 21/55 elapsed=0.000453s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 22/55 elapsed=0.000418s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 23/55 elapsed=0.000420s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 24/55 elapsed=0.000426s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 25/55 elapsed=0.000418s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 26/55 elapsed=0.000433s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 27/55 elapsed=0.000434s count=1417
